basis_num,mse_dnn_default,mse_pde_basis
100,0.00013620350265629207,0.0002414488759599427
200,1.5695808823363572e-09,2.1488629681169702e-09
300,8.471080718045629e-11,6.166104085327022e-13
400,3.5200303808584215e-11,9.857456834267556e-14
500,4.016974499025643e-11,4.404223712360923e-16
600,1.4094877357010345e-11,7.40372129796516e-17
700,9.717100503039769e-12,6.218368394804168e-17
800,1.0914263638340957e-11,4.8357193835238855e-18
900,1.0354194069688383e-11,1.0147209168395387e-18
1000,5.5233811880916e-12,2.9996009546438272e-18
